normalized_text,label_manual
keseimbangan sistemik membaca kritik ferry latuhihin kepada purbaya,netral
apa kan purbaya juga ada kewenangan untuk ingatkan agar bisa membuat hrg paket internet yang lebih murah dan masuk akal karena klu paket bersisa lgsg hangus juga benahi sinyal yang sering lemot,netral
salah ini harusnya danantara kan toh semua bumn bawah danantara duit mereka kan banyak cukup lho buat bayar utang woosh bener kok kata purbaya kalau masa apbn yang harus nanggung,negatif
hati hati pak menkeu purbaya orang yang mempunyai integritas tinggi biasanya banyak musuhnya apalagi kalau ada yang merasa terusik,netral
tinggi bahlil cuma sepundak purbaya,netral
purbaya,netral
kita tunggu purbaya bikin statemen gimana buat erick thohir,netral
karena makin mahalnya paket internet dari shg memberatkan rakyat termsk saya mhn pihak menindak pimpinan yang mau untung sendiri klu paket bersisa lgsg hangus lagi juga sinyal sering lemah dan mhn purbaya ikut pantau hal ini,netral
ultimatum purbaya anak buah gue sikat tidak ada ampun via,negatif
paling demen denger purbaya podium pas dia ngomong adohhsambil tepok jidat ini trademark dia khas kaum kabayan,netral
kalau denger purbaya ngomong dialek sundanya kerasa bener moga bener dia ada darah ningrat sunda supaya tradisi kaum intelek sunda yang berkiprah nkri tak terputus sejak djuanda sampe mochtar kusumaatmadja,netral
tergantung wakyu perjanjian negara yang diwakili jkw ikut jadi penjamin tidak kalau ada legalnya purbaya itu ngawur kalau tidak ada legalnya purbaya ngomong sama bos prabowo bukan disosmed,netral
menkeu purbaya sbgi pengawas bumn hrs memantau yang merasa begitu dominan dalam penentuan paket internet yang rasa terlalu mahal hal klu nanti bersisa tidak juga kembalikan pengguna hrg paket rata atas ribu lagi signal sering hilang,netral
cepat kagum pada ketokohan itu emang sifat buruk manusia apalagi warga indonesia tokoh terbaru yang viral purbaya yang katanya bisa membelah gunung dan terbang bulan,negatif
wajib tau hal ini ketika purbaya bicara suara yang mengguncang dpr dan seluruh sistem ekonomi datanglah kegotube nikmati video yang menarik,netral
mending purbaya lah anjingg dia ngomong realita,netral
praktik kuota impor ilegal dinilai memperburuk industri tekstil salah satu asosiasi tekstil yakni asosiasi produsen serat dan benang filamen indonesia apsyfi menyurati menteri keuangan menkeu purbaya yudhi sadewa,negatif
kan dah mulai jualan lagi dari sekarang vankeelahh knp pada tidak meledak aja sih perut kalian wahai para sales barang dulu jualan jokowi sekarang purbaya hade tipu aja terus rakyatt hadewwee taee goodbye makin bikin eneq aja taeelahh,netral
jalan terus purbaya walau banyak senggol kiri kanan,netral
purbaya kalau yang terlalu lama duduk dijabatan makin ngawur kebijakannya,netral
utang kereta cepat membengkak menkeu purbaya ogah jika dilempar apbn,netral
semoga bener kenyataan ayo gas kalau jaman jokowi ada pak bas yang jadi media darling kalau skrg purbaya tinggal yang nyetir aja siapa mau kanan apa kiri,netral
purbaya menkeu digempur oleh para mafia karena demi kepentingan rakyat maka kita sbagai rakyat juga hrs bersama lawan mafia itu amp lindungi purbaya,netral
menkeu purbaya tegas ogah bayar utang kereta cepat whoosh triliun dari apbn,netral
sutujuu purbaya mereka berdua udah kekenyangan sekarang udah mau muntah,netral
buff purbaya masih,netral
gayanya sih boleh bos tapi apa negara indo telah berubah mnjadi negara purbaya jika iya sah saja ybs sbg owner tidak mau bayar,netral
tidak urusan sama purbaya kalau cuan mah itu karena kebaikan papi supir angkot,positif
purbaya dan tito siap kawal pengalihan dana transfer daerah,netral
lah orang terpesona sama anies kan baru ini aja wktu udah lengser dari dki wktu baru menjabat dia lebih banyak dihujat jadi beda anies dipuji setelah udah selesai kerja bukan baru mulai kayak purbaya,netral
perasaan aku aja apa memang purbaya terlalu banyak omong,netral
kira kira hari ini gue udh liat alex sudah biasa terjadi tante edit kali dalam sehari bener anaknya purbaya,netral
meski begitu purbaya menegaskan masih perlu melakukan asesmen lanjutan sebelum keputusan final diambil sisi lain sang menkeu juga menyinggung gugatan tutut soehao terhadap dirinya ptun jakaa yang kini telah dicabut kita sudah ketemu dan diskusi mbak tutut,netral
menkeu purbaya satgas blbi cuma bikin ribut akan dibubarkan menteri keuangan purbaya yudhi sadewa berencana membubarkan satgas bantuan likuiditas bank indonesia blbi karena dianggap tak efektif dan hanya menimbulkan keributan kelamaan hasilnya enggak banyakbanyak amat,netral
tolong diaudit dana gede buat timnas purbaya pemborosan,netral
kalau maksudnya sumitro djojohadikusumo ayah prabowo yang dikenal ekonom visioner maka pendekatan purbaya memang punya nuansa prudent fiskal ala era itu fokus efisiensi dan antikorupsi daripada beban pajak baru dua periode belum tentu tapi konsistensi kebijakan bisa,netral
tetap tegar pak purbayarakyat mendukung bpk melawan orangorang yang sudah menggerogoti negara sejak tahun terakhir ini,positif
purbaya this purbaya that kerja belum keliatan bacotnya udah kemana,netral
semoga kerja merkeu purbaya lebih baik dari sri mulyani,positif
spanduk prabowo subianto dan purbaya for beredar bandung jawa barat,netral
rasanya buzzer buzzer purbaya mulai aksi memberitakan hal hal seolah olah purbaya seorang hero buktikan saja nanti jangan terpleset lagi untuk kedua kali sepei dulu rakyat memuji mulyono pengkhianat konstitusi,netral
pengamat statement purbaya adalah sinyal restu prabowo agar jokowi diadili,netral
asosiasi produsen serat dan benang filamen indonesia menyurati menteri keuangan purbaya yudhi sadewa,netral
statement purbaya adalah sinyal restu prabowo agar jokowi diadili,netral
bobi maling kpn itu mau ditangkap kpk berani beraninya datang nemuin purbaya minta minta,netral
iya sama semua berita yang ada kata purbaya,netral
media itu jangan bikin gaduh mentri keungan purbaya saja mengatakan tidak tau dan itubkata media,netral
foto spanduk prabowopurbaya for beredar bandung,netral
dukung dan jaga menteri purbaya dengan dukung presiden smg ekonomi bisa makin bagus jadi menkeu berprestasi tidak hrs sebut menteri keuangan terbaik dunia spt ibu itu tuhh padahal kinerja jeblok ratu hutang untuk isi brankas,positif
tenang now have pak purbaya,netral
purbaya mulai lihat tandatanda ekonomi bakal lari kencang,netral
indonesia sudah digerogoti para mafia berdasi sungguh menyedihkan tengah ada mentri yang berpihak kepada rakyat semoga allah swt melindungi pak purbaya besea keluargaamiin,netral
fadli zonk juga tidak keliatan kerja nya purbaya,netral
tenang pak purbaya rakyat terus berjuang melawan segala bentuk mafia negeri ini mereka sudah keluar dari rumah dan mulai berisik atas perlawanan dari suara kebenaran teruskan dan kita dukung total kebijakan melawan bajingan mafia smgt rakyat bersamamu,positif
bismillah purbaya perubahan besar indonesia raya,netral
sri mulyani purbaya coretax sama sama error tidak guna,netral
tindakan tepat dari purbaya,positif
wkwkwk kilang banyak kok disentil tipis malesan ama pak purbaya aja masa tidak ngeh masalahnya dmn,negatif
para mafia baik senayan maupun sejawat nya sudah melawan purbaya karena terganggu pundi pundi nya jangan gentar pak pur public memback anda,positif
terbang wilayah sendiri harus izin singapura ini kata pak purbaya via,netral
seneng tuh sby dapat pujian dari purbaya kalau realitasnya begitu patut dan layak bangga lah,netral
tempatkan purbaya pengamat cara prabowo gebuk jokowi dan geng solo,netral
makanya suka pak purbaya,netral
sekian lama tidak melihat berita sekilas melihat lihat berita tentang menteri keuangan pak purbaya dengan segala rencana kebijakan menteri yang lain pada ngapain dah atau memang sudah setting agar publik melihat sisi saja,netral
tempatkan purbaya pengamat cara prabowo gebuk jokowi dan geng solo,netral
berdasarkan pencarian saya berbagai sumber berita terpercaya tidak ada laporan kredibel tentang istri menkeu purbaya yudhi sadewa menerima paket teror berisi darah kemungkinan ini hoaks atau informasi yang belum terverifikasi saya sarankan cek sumber resmi sepei situs,positif
hajaar pak purbaya hajaar bahliljeleek bpk purbaya kan tinggi besar bahlil cebol injek injek dah bahlil sampai benyeet hajaar pak,netral
menkeu purbaya mengaku tidak takut siapa pun,netral
menkeu purbaya mengaku tidak takut siapa pun,netral
mungkin pki tidak terima dengan kinerjanya purbaya kalau tidak lindungi negara ainya negara mendukung penerornya,positif
kayaknya yang mujimuji purbaya ini cuma lagi pengen caper sama belio yang mujimuji prnya bagus juga orangorang prnya sendiri,positif
menteri keuangan menkeu purbaya yudhi sadewa mengungkapkan bahwa dirinya memiliki hobi menonton drama china untuk menghilangkan stres dari rutinitas kerja yang padat dalam pernyataannya purbaya mengatakan bahwa tontonan ringan tersebut membantunya menjaga fokus dan,netral
lewat medsos mungkin rakyat gantungkan harapan kpd menkeu purbaya yudhi sadewa ada perubahan ekonomi siap bela sang koboi jangan provokasi keluarga sang menteri yang ditengarai otak kotornya adalah mavia yang sudah diketahui publik tahu sendiri akibatnya,netral
respons purbaya soal utang negara tembus triliun masih dalam level aman persoalan hutang yang suka goreng dan dipakai senjata untuk mendiskreditkan pemerintah oleh para pembenci ternyata masih aman,netral
lindungi pak purbaya allahdr segala macem bahaya dan fitnahaamin allah,netral
tidak bahas purbaya biar perang sendiri saja dan dukungan publik sudah cukup,positif
bank dunia memperkirakan efek purbaya hanya menaikan peumbuhan ekonomi indonesia dari sebelumnya menjadi masih dibawah,netral
purbaya dong kalau sri mulyani ini bikin kenyang jokower dan keluarganya dan anaknya memalukan sri mulyani ini sampai menjabat msh mau menjabat lagi tidak laku sudah terusir dari kabinet prabowomenteri abal bikin susah rakyat seindonesia gonggong brengsek bodoh,netral
menteri pekerjaan umum dody hanggodo yang peama kali menyatakan rencana pembangunan ulang ponpes khoziny sidoarjo menggunakan apbn sebut biaya lebih murah daripada perbaikan namun hal ini menuai kritik dari fsgi dan pengamat sea menkeu purbaya bilang belum terima,positif
purbaya still omon doang mari kita tunggu hasil kerja nya kasih waktu dulu,netral
hati hati pak menkeu purbaya orang yang mempunyai integritas tinggi biasanya banyak musuhnya,netral
mantapp pak purbaya rakyat mendukung aksi bapak hajar mafia migas,positif
menkeu purbaya sby tidak bangun infrastruktur tapi rakyat makmur zaman jokowi semuanya dibangun,netral
purbaya membuyarkan semuanya,netral
kalau diikuti utuh ceramahnya pak menkeu purbaya tidak secara spesifik membandingkan head head pak sby dan pak jokowi tetapi menerangkan data grafik ekonomi time series selama periode kepemimpinan pak sby dan pak jokowi,netral
terbang wilayah sendiri harus izin singapura ini kata pak purbaya lewat,netral
saya yakin dibalik penolakan menkeu purbaya ada kekuatan besar yang membekingi nya,netral
pak purbaya ini pinter banget statemen nya bikin sange birahi para lowbet yang ujungnya ada sensasi orgasme untuk bersorak mulyono hihihi katanya malah utang whoosh kudu dibayar jokowi,netral
ada orang yang berani skak mat lord ini mslh reklamasi disikat tempat purbaya msh hangat bbrp hari lalu tak berkutik lah masak sekelas presiden kepala negara kepala pemerintahan panglima teinggi bapak jenderal kopassus prabowo bisa kalah,negatif
citra pak semakin positif dimata rakyat ketika beliau berani ambil keputusan untuk tunjuk sosok berintegritas dan loyal sepei pak purbaya ini kalau cuma cerdaspinter doang mah ujungnya menggunting dalam lipatan,positif
omonomon saja ini purbaya sudah tahunan mafia migas terutama impor bbm merugikan kasus putra riza chalid saja kata kejagung rugikan negara triliun gitu kok masih ngancam hajar harusnya langsung gepruk saja,negatif
rakyat tetap dukung purbaya selama masih ingin selamatkan uang rakyatlawan,positif
tiap buka reels pasti muncul jedag jedug purbaya minimal sekali,netral
semoga cita cita mas purbaya tercapai kita kaya bersama sama aamiin,netral
sri mulyani memberikan tunjangan bagi asn kemenkeu termasuk asn pajak tetapi anak buah tetap ada yang korupsi dan belum ada yang dipecat sri mulyani purbaya masuk identifikasi pegawai koruptor langsung pecat,netral
basuki tjahja purnama ignatius jonan susi pujiastuti sudirman said rieke diah pitaloka rocky gerung tan shot yen purbaya yudhi sadewa,netral
utang tembus triliun menkeu purbaya tegaskan nominal bukan segalanya,netral
semua menteri beking presiden mari kita lihat saja hasil kerja purbaya hanya omon apa nanti terbukti hasil,netral
herannya purbaya itu sekarang populer kaum anak abah digadang gadang jadi cawapres gantikan gibran buzer nya banyak banget nih,netral
sorotan khusus menkeu purbaya sebut nominal bukan segalanya usai kini utang capai triliun,netral
jika benar maka presiden harus melindungi purbaya karena mentri adalah pembantu presiden coba bapak,netral
menteri keuangan purbaya yudhi sadewa mengatakan bahwa tak mau menanggung beban dari utang kereta cepat whoosh hal ini disampaikan dalam media gathering yang digelar secara online pada jumat kan kcic bawah danantara kan kalau bawah danantara kan mereka,netral
ayo dukung purbaya kembalikan harga diri indonesia dengan nego ulang pembiayaan kcic dengan china ini baru menteri hebat,positif
purbaya dikeroyok para gubernur dan menteri lainnya,netral
terkait dollar yang nongkrong luar negeri sudah ada beberapa solusi dari presiden salah satunya dengan memaksa naga membeli patriot bond pak purbaya juga sudah menyiapkan langkahlangkah taktisnya kalau tidak salah sudah terbit regulasi yang mengatur itu,negatif
lagi rame posting menkeu purbaya tolak bayar hutang woosh seolah pak purbaya membangkang laah memang gada kewajiban pemerintah bayar hutang bumn semua tanggung jawab penuh korporasi,netral
every single stuff cuman jadi bahan ridicule kcic purbaya tidak mau bayar sirkelnya lbp terus kai kolaps dibiarin aja jokowi dkk lucu kalian masih ngehype purbaya,netral
faktanya purbaya sejauh ini ekonomi belum bergerak kebutuhan pokok naik daya beli masih rendah pendapatan masih minus phk masih tinggi namun bicaranya sudah melewati langit jadi ingat jokowi yang bilang ekonomi akan maroket minggu besok senin pildun mundur,netral
purbaya pura bahagia bang,netral
pak purbaya telah mengajarkan kita tentang perbandingan penerapan keuangan negara pantesan kondisi ekonomi lesu dii era jokowi karena besarnya bunga deposito dan pengeluaran uang negara era jokowi menginabobokan orang kaya dan mengeruk uang negara mohon menkeu tidak mengulang,netral
purbaya,netral
purbaya itu gaya kerja prabowo kegagalan purbaya nanti akan parah dampaknya kepada ekonomi indonesia dan gaya gila purbaya ini juga harusnya bisa jadi pelajaran agar prabowo belajar menerapkan manajemen bapak jokowi yang diamdiam tapi hasilnya luar biasa,negatif
menkeu purbaya realistis,netral
purbaya nay dia overrated bahkan saat ini overhyped terlalu dipromosikan berlebihan padahal biasa aja bahkan kebijakannya juga belum kebaca,netral
rakyat semakin pintar pak tidak mau beli dari peamina karena banyak kasus yang sudah apa diopolos kan ujungnya rakyat juga yang dirugikan karena kebohongan para elit kenapa sih jujur aja tidak mau contoh pak purbaya sudah keliatan bener kerjanya semoga terus begitu,negatif
purbaya usut modus arisan faktur pengusaha akali insentif pajak,netral
juga bakal percaya kalau ada yang bilang albon anaknya purbaya,positif
sampai saat ini saya mendukung terus kebijakan purbaya,positif
jangan lupakan juga sri mulyani berhasil menyita aset tommy suhao lalu beberapa waktu setelah purbaya dilantik mbak tutut tibatiba menuntut purbaya karena mencekal dia luar negeri lalu purbaya pun melepaskan cekal itu padahal yang mencekal itu sri tim blbi,netral
kmrn fokus kapan srimul diganti akhirnya rakyat lega dan hepi menkeu abadi itu diganti sama pak purbaya skrg fokus kapan bahlil diganti selama belum diganti dia bikin rakyat selalu gaduh kacau tak berkesudahan tuan presiden kapan bahlil diganti,netral
baguslah amp tim ainya tepat milih purbaya persis jaman yang sering ribut level elit rakyat makmur ekonomina stabil mantau sjampitu sehat elit debat justru baguss,positif
benar prediksi netizen purbaya akan serang oleh geng mulyono,netral
excusezmoi jendral ini sih antara sri mulyani luhut binsar panjaitan cest brilliance jendral sudah menunjuk pak purbaya apa kabar menpora erick ketum pssi thohir,netral
analisa menarik kebijakan purbaya itu menyalahi hukum ekonomi dan saya tidak mengatakan sri mulyani bagus karena selama menjadi menkeu hanya beindak sebagai kasir,positif
maju trs purbaya libas semua orang kemaruk negeri ini,netral
menteri keuangan purbaya yudhi sadewa menilai masa pemerintahan presiden susilo bambang yudhoyono sby lebih makmur dibandingkan era joko widodo jokowi pandangan ini disampaikan dengan menyoroti sejumlah indikator ekonomi sepei peumbuhan kredit perbankan dan rasio,netral
purbaya itu tangan kanan prbwo luhut itu hantu yang selalu membayangi prbwo,netral
pak purbaya tuh ketua,netral
wapres purbaya yudi bergerak,netral
banyak video tentang kehebatan purbaya sampe segala fir aja diklaim dia yang meeting sama singapore wah ada agenda apa nih koboy atau ternaknya,netral
purbaya sekarang sebutkan cara menciptakan peumbuhan ekonomi yang baik tanpa pemberantasan judol kalau tidak bisa berai omon omon,positif
selama thun terakhir hanya orng yang berani melawan atas bersebrangan pemikiran dengan opung yaitu anies dan purbaya nya sama pda saat menjadi gubernur jka akhir nya opung dpt lawan yang sepadan,netral
alhamdulillah saya dukung pak purbaya alhamdulillah pere penghisap darah sudah dibuang pak wowo,positif
kenapa dari ribuan pejabat hanya purbaya saja yang sadar kalau hanya ngeruk haa indonesia,netral
purbaya bukan purbayan,netral
sri mulyani sudah jelas kerjanya purbaya hanya heboh wacana hasil belum ada cant say much who better between two,netral
menkeu purbaya diamdiam fans klub argentina boca juniors,netral
keduanya sama sama pinter cuma bedanya pak purbaya pinter nyenengin rakyat kalau mbak sri pinter nyenengin pejabat,netral
sempat beradu penjelasan soal elpiji menkeu purbaya kini beemu menteri esdm bahlil lahadalia menteri keuangan purbaya yudhi sadewa beemu dengan menteri energi dan sumber daya mineral bahlil lahadalia peemuan itu berlangsung kantor ditjen pajak jakaa pada jumat,netral
claim aja purbaya,netral
bisa ditebak siapa yang lakukan tindakan pengecut itu ayo kita kawal dan jaga purbaya,netral
tidak indo tidak apa-apa yang penting dollar rebu ayo pak purbaya semangat,netral
pak purbaya bersni senggol ekonomi era pak sby dengan oak jokowi katanya rakyat lebih makmur jaman sby moga termul tidak nyerang aku,netral
simak kue pembangunan itu mulai dari era soehao tahukah anda konsep kue pembangunan itu dibuat oleh menteri ekonomi saat itu lulusan barkley dengan menarik investor luar negeri jadi kita lah yang nikmati kue itu peama lahirlah purbaya oon itu paham,netral
kepada pak purbaya agar sesegera memotong anggaran untuk olahraga bodoh ini,netral
menteri keuangan purbaya yudi sadewa menunda pelaksanaan pemungutan pajak penghasilan atau pph pasal oleh penyedia lokapasar,netral
menkeu purbaya akan mendalami modus pecah usaha demi bisa menikmati tarif pph umkm hingga persen lewat news,netral
menteri keuangan purbaya yudhi sadewa menilai kinerja satgas blbi belum menunjukkan hasil signifikan dan lebih banyak menimbulkan kegaduhan menilai satuan tugas yang telah berjalan empat tahun untuk mengejar penunggak utang triliun itu sebaiknya dibubarkan,positif
itu bukan urusan purbaya itu urusan banknya pikirkan sendiri sumber dana deposit call tanam untuk kredit otomotif dan propei yang jangka waktunya panjang pikirkan resikonya btn dan bri,netral
gara purbayapara termul kehilangan otak,netral
menteri keuangan purbaya yudi sadewa menunda pelaksanaan pemungutan pajak penghasilan atau pph pasal oleh penyedia lokapasar,netral
mas oppo ada masa ada orang juga sbaliknya tpi khusus untuk oom purbaya masa singkat perbaikanya,positif
menteri keuangan purbaya yudi sadewa menunda pelaksanaan pemungutan pajak penghasilan atau pph pasal oleh penyedia lokapasar,netral
ini kamu big fan purbaya,netral
utang membengkak ini alasan purbaya minta danantara tanggung sendiri proyek kereta cepat baca selengkapnya,netral
bedanya sri mulyani lebih berperan sepei kasir toko mebel jokowi konsepnya dua ngutang naikkan pajak sedangkan purbaya lebih berperan sebagai bendahara umum,netral
guru besar ipb beberkan dampak petani tembakau atas kebijakan menkeu purbaya yang tidak naikkan cukai rokok via,netral
purbaya masih perlu pembuktian,netral
sekarang ekonom mana yang bisa membantah data dan fakta yang menteri purbaya sampaikan ini penting untuk menjaga kewarasan berfikir kita karena terlalu cepat menjadi media darling tanpa ada sanggahan kritis terutama pada cara baca parameter ekonomi itu bisa membuat,netral
aku memang pencinta wanita namun bukan purbaya,netral
gaya cowboy mentri purbaya yudhi sadewa,netral
gabisa tidak ketawa alex purbaya trust,netral
pajak itu gunakan dengan tepat ngapain buat bayar proyek pencitraan jokowi biar tekor asar kesohor untung purbaya pinter ndak mau bencos uang negara buat bayar utang proyek jokowi emang kebijakan ngawur,positif
setidaknya purbaya lebih fresh siapapun kalau terlalu lama tidak baik,positif
makanya bacotannya purbaya itu didengar bukan dicemooh,netral
kayaknya semua menteri termasuk presiden dan wakilnya itu zonk kecuali purbaya sama teddy kali,netral
purbaya bakal alihkan sisa dana sal bank daerah apabila tidak tersalurkan semua,netral
semangat pak purbaya,netral
kepada omon purbaya lebih ngawur dari anis dia merasa hebat omon sana sini diluar porsinya menteri keuangan sepeinya dia belum bisa bekerja sama dalam sebuah teamwork ini bisa merusak harmoni koordinasi kabinet atau dia merasa jadi presiden,negatif
public speaking tidak harus serius dan kaku coba lihat gayanya purbaya santai tpi jelas bukan planga plongo,netral
triwulan ketiga akan turun karena perlambatan yang terjadi kemarin karena demo yang besar itu triwulan keempat akan jelasnya purbaya menyadari perlunya dukungan semua pihak agar ekonomi tumbuh tinggi baik kementerian lembaga maupun bumn sea swasta,positif
